observed_date,source,market,canonical_fish_name,noryangjin_species_name,source_species_name,trade_state,origin,spec,package_unit,quantity,weight,high_price_krw,low_price_krw,avg_price_krw,source_url
2026-07-10,noryangjin,노량진수산물도매시장,참돔,참돔,(활)참돔,활,일본,1/2미,kg,6.4,,15000,15000,15000,https://www.susansijang.co.kr/nsis/miw/ko/info/miw3110
2026-07-10,noryangjin,노량진수산물도매시장,참돔,참돔,(선)참돔,선,일본,3미,kg,5.3,,5500,5500,5500,https://www.susansijang.co.kr/nsis/miw/ko/info/miw3110
2026-07-10,noryangjin,노량진수산물도매시장,참돔,참돔,(선)참돔,선,일본,3/4미,kg,40,,6000,6000,6000,https://www.susansijang.co.kr/nsis/miw/ko/info/miw3110
2026-07-10,noryangjin,노량진수산물도매시장,,혹돔,(활)혹돔,활,통영,1/2미,kg,11.6,,10000,10000,10000,https://www.susansijang.co.kr/nsis/miw/ko/info/miw3110
2026-07-10,noryangjin,노량진수산물도매시장,참돔,돔,(활)돔,활,중국,7미,kg,14.3,,10000,10000,10000,https://www.susansijang.co.kr/nsis/miw/ko/info/miw3110
2026-07-10,noryangjin,노량진수산물도매시장,,딱돔,(선)딱돔,선,중국,3미,kg,2.4,,1000,1000,1000,https://www.susansijang.co.kr/nsis/miw/ko/info/miw3110
2026-07-10,noryangjin,노량진수산물도매시장,참돔,참돔,(활)참돔,활,완도,2미,kg,5,,15000,15000,15000,https://www.susansijang.co.kr/nsis/miw/ko/info/miw3110
2026-07-10,noryangjin,노량진수산물도매시장,참돔,참돔,(활)참돔,활,일본,7미,kg,80,,19500,19500,19500,https://www.susansijang.co.kr/nsis/miw/ko/info/miw3110
2026-07-10,noryangjin,노량진수산물도매시장,참돔,참돔,(활)참돔,활,일본,3/4미,kg,1021.6,,23000,11000,17000,https://www.susansijang.co.kr/nsis/miw/ko/info/miw3110
2026-07-10,noryangjin,노량진수산물도매시장,참돔,참돔,(선)참돔,선,완도,15미,kg,12.7,,4000,4000,4000,https://www.susansijang.co.kr/nsis/miw/ko/info/miw3110
2026-07-10,noryangjin,노량진수산물도매시장,참돔,참돔,(선)참돔,선,완도,3/4미,kg,32.5,,4000,4000,4000,https://www.susansijang.co.kr/nsis/miw/ko/info/miw3110
2026-07-10,noryangjin,노량진수산물도매시장,참돔,참돔,(선)참돔,선,일본,1미,kg,4.7,,11000,9000,10600,https://www.susansijang.co.kr/nsis/miw/ko/info/miw3110
2026-07-10,noryangjin,노량진수산물도매시장,참돔,돔,(활)돔,활,중국,8미,kg,27.7,,8000,3000,5700,https://www.susansijang.co.kr/nsis/miw/ko/info/miw3110
2026-07-10,noryangjin,노량진수산물도매시장,,연자돔,(선)연자돔,선,제주도,20/21미,S/P,6,,105000,105000,105000,https://www.susansijang.co.kr/nsis/miw/ko/info/miw3110
2026-07-10,noryangjin,노량진수산물도매시장,돌돔,줄돔,(활)줄돔,활,일본,1/2미,kg,1.1,,11000,11000,11000,https://www.susansijang.co.kr/nsis/miw/ko/info/miw3110
2026-07-10,noryangjin,노량진수산물도매시장,참돔,참돔,(활)참돔,활,통영,3미,kg,4,,3000,3000,3000,https://www.susansijang.co.kr/nsis/miw/ko/info/miw3110
2026-07-10,noryangjin,노량진수산물도매시장,참돔,참돔,(활)참돔,활,일본,4미,kg,365.1,,22000,10500,16200,https://www.susansijang.co.kr/nsis/miw/ko/info/miw3110
2026-07-10,noryangjin,노량진수산물도매시장,참돔,참돔,(선)참돔,선,일본,2/3미,kg,11.9,,10000,10000,10000,https://www.susansijang.co.kr/nsis/miw/ko/info/miw3110
2026-07-10,noryangjin,노량진수산물도매시장,참돔,참돔,(선)참돔,선,완도,5미,S/P,1,,22500,22500,22500,https://www.susansijang.co.kr/nsis/miw/ko/info/miw3110
